location,year,category,rank,query
Global,2004,News Outlets,2,Washington Post
Global,2004,News Outlets,3,BBC
Global,2004,News Outlets,4,Fox News
Global,2004,News Outlets,5,New York Times
Global,2004,Professional Services,1,Real Estate
Global,2004,Professional Services,2,Attorney
Global,2004,Professional Services,3,Insurance Broker
Global,2004,Professional Services,4,Car Dealer
Global,2004,Professional Services,5,Hair Salon
Global,2004,Public Figures,1,George W. Bush
Global,2004,Public Figures,2,Janet Jackson
Global,2004,Public Figures,3,John Kerry
Global,2004,Public Figures,4,Britney Spears
Global,2004,Public Figures,5,Saddam Hussein
Global,2004,Retail Chains,1,Walmart
Global,2004,Retail Chains,2,Home Depot
Global,2004,Retail Chains,3,Best Buy
Global,2004,Retail Chains,4,Costco
Global,2004,Retail Chains,5,Walgreens
Global,2004,Searches,1,Britney Spears
Global,2004,Searches,2,Paris Hilton
Global,2004,Searches,3,Christina Aguilera
Global,2004,Searches,4,Pamela Anderson
Global,2004,Searches,5,Chat
Global,2004,Sports,1,David Beckham
Global,2004,Sports,2,Тур де Франс
Global,2004,Sports,3,Euro 2004
Global,2004,Sports,4,NBA
Global,2004,Sports,5,Lance Armstrong
Global,2004,Sports Services,1,YMCA
Global,2004,Sports Services,2,Golf
Global,2004,Sports Services,3,Campground
Global,2004,Sports Services,4,Bowling
Global,2004,Sports Services,5,Marathon
Global,2004,Technology,1,Wallpaper
Global,2004,Technology,2,Kazaa
Global,2004,Technology,3,MP3
Global,2004,Technology,4,Spybot
Global,2004,Technology,5,Linux
Global,2004,TV Shows,1,Симпсоны
Global,2004,TV Shows,2,Pokémon
Global,2004,TV Shows,3,South Park
Global,2004,TV Shows,4,Charmed
Global,2004,TV Shows,5,SpongeBob SquarePants
Global,2004,Women,1,Britney Spears
Global,2004,Women,2,Paris Hilton
Global,2004,Women,3,Christina Aguilera
Global,2004,Women,4,Pamela Anderson
Global,2004,Women,5,Carmen Electra
Global,2005,Froogle Searches,1,iPod
Global,2005,Froogle Searches,2,Digital Camera
Global,2005,Froogle Searches,3,MP3 Player
Global,2005,Froogle Searches,4,iPod Mini
Global,2005,Froogle Searches,5,PlayStation Portable
Global,2005,Most Searched,1,Janet Jackson
Global,2005,Most Searched,2,Hurricane Katrina
Global,2005,Most Searched,3,Tsunami
Global,2005,Most Searched,4,Xbox 360
Global,2005,Most Searched,5,Brad Pitt
Global,2006,Deaths of 2006,1,Aaron Spelling
Global,2006,Deaths of 2006,2,Kirby Puckett
Global,2006,Deaths of 2006,3,Jack Wild
Global,2006,Deaths of 2006,4,Clifford Geertz
Global,2006,Deaths of 2006,5,Muriel Spark
Global,2006,Define...,1,Define Promiscuous
Global,2006,Define...,2,Define Web 2.0
Global,2006,Define...,3,Define FTW
Global,2006,Define...,4,Define Calidad
Global,2006,Define...,5,Define Ajax
Global,2006,Divorces,1,Paul McCartney and Heather Mills
Global,2006,Divorces,2,Travis Barker and Shanna Moakler
Global,2006,Divorces,3,Britney Spears and Kevin Federline
Global,2006,Divorces,4,Whitney Houston and Bobby Brown
Global,2006,Divorces,5,Eminem and Kim Mathers
Global,2006,How to...,1,How to Refinance
Global,2006,How to...,2,Wiki How To
Global,2006,How to...,3,How to Drift
Global,2006,How to...,4,How to Podcast
Global,2006,How to...,5,How to Scream
Global,2006,Jerseys,1,World Cup Jerseys
Global,2006,Jerseys,2,Zidane Jersey
Global,2006,Jerseys,3,Buffalo Sabres Jersey
Global,2006,Jerseys,4,Ronaldinho Jersey
Global,2006,Jerseys,5,Italy Jersey
Global,2006,Most Searched,1,Bebo
Global,2006,Most Searched,2,Myspace
Global,2006,Most Searched,3,World Cup
Global,2006,Most Searched,4,Metacafe
Global,2006,Most Searched,5,Radioblog
Global,2006,News Searches,1,Paris Hilton
Global,2006,News Searches,2,Orlando Bloom
Global,2006,News Searches,3,Cancer
Global,2006,News Searches,4,Podcasting
Global,2006,News Searches,5,Hurricane Katrina
Global,2006,Retirements,1,Bob Barker
Global,2006,Retirements,2,Bobby Bowden
Global,2006,Retirements,3,Sammy Sosa
Global,2006,Retirements,4,Tiki Barber
Global,2006,Retirements,5,Bill Gates
Global,2006,Weddings,1,Nicole Kidman and Keith Urban
Global,2006,Weddings,2,Tom Cruise and Katie Holmes
Global,2006,Weddings,3,Avril Lavigne and Deryck Whibley
Global,2006,Weddings,4,Campbell Brown and Dan Senor
Global,2006,Weddings,5,TomKat Wedding Photos
Global,2006,What is...,1,What is Hezbollah
Global,2006,What is...,2,What is Carisoprodol
Global,2006,What is...,3,What is Acyclovir
Global,2006,What is...,4,What is Alprazolam
Global,2006,What is...,5,What is Tramadol
Global,2006,Where is...,1,Where is Togo
Global,2006,Where is...,2,Where is Matt
Global,2006,Where is...,3,Where is Torino
Global,2006,Where is...,4,Where is Darfur
Global,2006,Where is...,5,Where is Villanova
Global,2007,News Searches,1,American Idol
Global,2007,News Searches,2,YouTube
Global,2007,News Searches,3,Britney Spears
Global,2007,News Searches,4,2007 Cricket World Cup
Global,2007,News Searches,5,Chris Benoit
Global,2008,Campaign Buzzwords,1,Joe The Plumber
Global,2008,Campaign Buzzwords,2,Jeremiah Wright
Global,2008,Campaign Buzzwords,3,Maverick
Global,2008,Campaign Buzzwords,4,William Ayers
Global,2008,Campaign Buzzwords,5,Bridge To Nowhere
Global,2008,Comfort Foods,1,Ice Cream
Global,2008,Comfort Foods,2,Chili
Global,2008,Comfort Foods,3,Spaghetti
Global,2008,Comfort Foods,4,Meatloaf
Global,2008,Comfort Foods,5,Fried Chicken
Global,2008,Concerts,1,Jonas Brothers
Global,2008,Concerts,2,Coldplay
Global,2008,Concerts,3,Hannah Montana
Global,2008,Concerts,4,Kenny Chesney
Global,2008,Concerts,5,Carrie Underwood
Global,2008,DIY,1,DIY Wedding
Global,2008,DIY,2,DIY TV
Global,2008,DIY,3,DIY Solar
Global,2008,DIY,4,DIY Tile
Global,2008,DIY,5,DIY Audio
Global,2008,How To...,1,How To Draw
Global,2008,How To...,2,How To Kiss
Global,2008,How To...,3,How To Write
Global,2008,How To...,4,How To Cook
Global,2008,How To...,5,How To Tie
Global,2008,It's All Over Now,1,Hugh Hefner & Holly Madison
Global,2008,It's All Over Now,2,Danity Kane
Global,2008,It's All Over Now,3,Jennifer Aniston & John Mayer
Global,2008,It's All Over Now,4,Taylor Swift & Joe Jonas
Global,2008,It's All Over Now,5,Jessica Simpson & Tony Romo
Global,2008,Lyrics,1,With You
Global,2008,Lyrics,2,My Life
Global,2008,Lyrics,3,Love Song
Global,2008,Lyrics,4,Lollipop
Global,2008,Lyrics,5,Low
Global,2008,Mascots,1,Olympic Mascot
Global,2008,Mascots,2,Georgia Mascot
Global,2008,Mascots,3,Tennessee Mascot
Global,2008,Mascots,4,Ohio State Mascot
Global,2008,Mascots,5,Phillies Mascot
Global,2008,MLB,1,Boston Red Sox
Global,2008,MLB,2,New York Yankees
Global,2008,MLB,3,Chicago Cubs
Global,2008,MLB,4,Philadelphia Phillies
Global,2008,MLB,5,New York Mets
Global,2008,Movie Trailers,1,Dark Knight
Global,2008,Movie Trailers,2,Iron Man
Global,2008,Movie Trailers,3,Hulk
Global,2008,Movie Trailers,4,Star Wars
Global,2008,Movie Trailers,5,Indiana Jones
Global,2008,NBA Teams,1,Los Angeles Lakers
Global,2008,NBA Teams,2,Boston Celtics
Global,2008,NBA Teams,3,Phoenix Suns
Global,2008,NBA Teams,4,New York Knicks
Global,2008,NBA Teams,5,Detroit Pistons
Global,2008,NFL Teams,1,New York Giants
Global,2008,NFL Teams,2,Dallas Cowboys
Global,2008,NFL Teams,3,New England Patriots
Global,2008,NFL Teams,4,Pittsburgh Steelers
Global,2008,NFL Teams,5,Green Bay Packers
Global,2008,NHL Teams,1,Detroit Red Wings
Global,2008,NHL Teams,2,Pittsburgh Penguins
Global,2008,NHL Teams,3,Buffalo Sabres
Global,2008,NHL Teams,4,Philadelphia Flyers
Global,2008,NHL Teams,5,Boston Bruins
Global,2008,Olympic Sports,1,Gymnastics
Global,2008,Olympic Sports,2,Swimming
Global,2008,Olympic Sports,3,Soccer
Global,2008,Olympic Sports,4,Tennis
Global,2008,Olympic Sports,5,Basketball
Global,2008,Political News Sources,1,Fox
Global,2008,Political News Sources,2,CNN
Global,2008,Political News Sources,3,ABC
Global,2008,Political News Sources,4,CBS
Global,2008,Political News Sources,5,MSNBC
Global,2008,Reality Shows,1,American Idol
Global,2008,Reality Shows,2,Big Brother
Global,2008,Reality Shows,3,Dancing with the Stars
Global,2008,Reality Shows,4,So You Think You Can Dance
Global,2008,Reality Shows,5,The Hills
Global,2008,Rivalries,1,Red River Rivalry
Global,2008,Rivalries,2,Michigan Ohio State Rivalry
Global,2008,Rivalries,3,Red Sox Yankees Rivalry
Global,2008,Rivalries,4,Lakers Celtics Rivalry
Global,2008,Rivalries,5,Georgia Auburn Rivalry
Global,2008,Soccer Teams,1,Manchester United F.C.
Global,2008,Soccer Teams,2,Chelsea F.C.
Global,2008,Soccer Teams,3,Chivas
Global,2008,Soccer Teams,4,FC Barcelona
Global,2008,Soccer Teams,5,Arsenal F.C.
Global,2008,Social Networks,1,Facebook
Global,2008,Social Networks,2,Myspace
Global,2008,Social Networks,3,Hi5
Global,2008,Social Networks,4,Orkut
Global,2008,Social Networks,5,LinkedIn
Global,2008,TV Shows,1,American Idol
Global,2008,TV Shows,2,Lost
Global,2008,TV Shows,3,SNL
Global,2008,TV Shows,4,The Office
Global,2008,TV Shows,5,Family Guy
Global,2008,What Is...,1,What is Love
Global,2008,What Is...,2,What is Life
Global,2008,What Is...,3,What is Java
Global,2008,What Is...,4,What is SAP
Global,2008,What Is...,5,What is RSS
Global,2008,Who is...,1,Who is Obama
Global,2008,Who is...,2,Who is McCain
Global,2008,Who is...,3,Who is Palin
Global,2008,Who is...,4,Who is Lil Wayne
Global,2008,Who is...,5,Who is Miley Cyrus
Russia,2008,"""Кто такой..?""",1,Kтулху
Russia,2008,"""Кто такой..?""",2,Девид Блэйн
Russia,2008,"""Кто такой..?""",3,Mенеджер
Russia,2008,"""Кто такой..?""",4,Kто ты такой
Russia,2008,"""Кто такой..?""",5,Mедведев
Russia,2008,"""Я хочу изменить...""",1,Цвет глаз
Russia,2008,"""Я хочу изменить...""",2,Голос
Russia,2008,"""Я хочу изменить...""",3,Цвет волос
Russia,2008,"""Я хочу изменить...""",4,Имидж
Russia,2008,"""Я хочу изменить...""",5,Cудьбу
Russia,2008,Люди,1,Pанетки
Russia,2008,Люди,2,Дима Билан
Russia,2008,Люди,3,Путин
Russia,2008,Люди,4,Бритни Спирс
Russia,2008,Люди,5,Mедведев
Russia,2008,Популярные запросы,1,Фото
Russia,2008,Популярные запросы,2,Игры
Russia,2008,Популярные запросы,3,Kарта
Russia,2008,Популярные запросы,4,MP3
Russia,2008,Популярные запросы,5,Погода
Russia,2008,События,1,Oлимпиада в пекине
Russia,2008,События,2,Eвро 2008
Russia,2008,События,3,Bойна грузия осетия
Russia,2008,События,4,Kризис
Russia,2008,События,5,Kоллайдер
Global,2009,Entertainment,1,Майкл Джексон
Global,2009,Entertainment,2,Transformers
Global,2009,Entertainment,3,Eminem
Global,2009,Entertainment,4,Naruto Shippuden
Global,2009,Entertainment,5,Beyoncé
Global,2009,Events: Fastest Rising Searches,1,VMAs
Global,2009,Events: Fastest Rising Searches,2,International Society Of Transport Aircraft Trading
Global,2009,Events: Fastest Rising Searches,3,Delhi Sustainable Development Summit
Global,2009,Events: Fastest Rising Searches,4,BBC Proms
Global,2009,Events: Fastest Rising Searches,5,EuroChocolate
Global,2009,Fastest Falling,1,Beijing 2008
Global,2009,Fastest Falling,2,Euro 2008
Global,2009,Fastest Falling,3,Heath Ledger
Global,2009,Fastest Falling,4,Barack Obama
Global,2009,Fastest Falling,5,Amy Winehouse
Global,2009,Fastest Rising,1,Майкл Джексон
Global,2009,Fastest Rising,2,Facebook
Global,2009,Fastest Rising,3,Tuenti
Global,2009,Fastest Rising,4,Twitter
Global,2009,Fastest Rising,5,Sanalika
Global,2009,Fastest Rising Searches: First Half of 2009,1,Eurovision 2009
Global,2009,Fastest Rising Searches: First Half of 2009,2,Susan Boyle
Global,2009,Fastest Rising Searches: First Half of 2009,3,Jade Goody
Global,2009,Fastest Rising Searches: First Half of 2009,4,Lady Gaga
Global,2009,Fastest Rising Searches: First Half of 2009,5,Robert Pattinson
Global,2009,Fastest Rising Searches: Second Half of 2009,1,Win For Life
Global,2009,Fastest Rising Searches: Second Half of 2009,2,FIFA 10
Global,2009,Fastest Rising Searches: Second Half of 2009,3,Secret Story 3
Global,2009,Fastest Rising Searches: Second Half of 2009,4,Facebook
Global,2009,Fastest Rising Searches: Second Half of 2009,5,Schweinegrippe
Global,2009,Festivals: Fastest Rising Searches,1,Sonnenrot Festival
Global,2009,Festivals: Fastest Rising Searches,2,Festival Sudoeste
Global,2009,Festivals: Fastest Rising Searches,3,Festival Di Venezia
Global,2009,Festivals: Fastest Rising Searches,4,Coca Cola Zero Fest
Global,2009,Festivals: Fastest Rising Searches,5,Lesbian Film Festival
Global,2009,Food and Drink,1,Acai Berry
Global,2009,Food and Drink,2,Picnic
Global,2009,Food and Drink,3,COOKPAD
Global,2009,Food and Drink,4,Tesco Direct
Global,2009,Food and Drink,5,Senseo
Global,2009,Looking to Buy Online: Fastest Rising Searches,1,Windows 7
Global,2009,Looking to Buy Online: Fastest Rising Searches,2,Tamiflu
Global,2009,Looking to Buy Online: Fastest Rising Searches,3,Alli
Global,2009,Looking to Buy Online: Fastest Rising Searches,4,Nokia N97
Global,2009,Looking to Buy Online: Fastest Rising Searches,5,LightScribe
Global,2009,Mobile Application Searches: Fastest Rising,1,YouTube App
Global,2009,Mobile Application Searches: Fastest Rising,2,Facebook App
Global,2009,Mobile Application Searches: Fastest Rising,3,IPlayer App
Global,2009,Mobile Application Searches: Fastest Rising,4,Google Maps App
Global,2009,Mobile Application Searches: Fastest Rising,5,Twitter App
Global,2009,News Searches: Fastest Rising,1,Ted Kennedy
Global,2009,News Searches: Fastest Rising,2,Twitter Tips
Global,2009,News Searches: Fastest Rising,3,Jade Goody
Global,2009,News Searches: Fastest Rising,4,Gad Elmaleh
Global,2009,News Searches: Fastest Rising,5,Chris Brown
Global,2009,People: Fastest Rising,1,Jade Goody
Global,2009,People: Fastest Rising,2,Lady Gaga
Global,2009,People: Fastest Rising,3,Майкл Джексон
Global,2009,People: Fastest Rising,4,Robert Pattinson
Global,2009,People: Fastest Rising,5,Megan Fox
Global,2009,Searches Related to Economy: Fastest Rising,1,Irish Economy 2009
Global,2009,Searches Related to Economy: Fastest Rising,2,Indian Economy 2009
Global,2009,Searches Related to Economy: Fastest Rising,3,Nobel Prize Economia 2009
Global,2009,Searches Related to Economy: Fastest Rising,4,UK Economy 2009
Global,2009,Searches Related to Economy: Fastest Rising,5,Energy Economy
Global,2009,Sports,1,Real Madrid
Global,2009,Sports,2,Открытый чемпионат США
Global,2009,Sports,3,UFC
Global,2009,Sports,4,Sahadan
Global,2009,Sports,5,LiveScore
Russia,2009,Самые быстро растущие запросы года,1,Windows 7
Russia,2009,Самые быстро растущие запросы года,2,Одноклассники.ru Моя страница
Russia,2009,Самые быстро растущие запросы года,3,Mайл
Russia,2009,Самые быстро растущие запросы года,4,ВКонтакте
Russia,2009,Самые быстро растущие запросы года,5,Фильмы онлайн
Global,2010,Consumer Electronics,1,iPad
Global,2010,Consumer Electronics,2,iPhone 4
Global,2010,Consumer Electronics,3,Nokia 5530
Global,2010,Consumer Electronics,4,HTC EVO 4g
Global,2010,Consumer Electronics,5,Nokia N900
Global,2010,Entertainment,1,Justin Bieber
Global,2010,Entertainment,2,Shakira
Global,2010,Entertainment,3,Eminem
Global,2010,Entertainment,4,Netflix
Global,2010,Entertainment,5,YouTube
Global,2010,Falling Searches,1,Swine Flu
Global,2010,Falling Searches,2,WaMu
Global,2010,Falling Searches,3,New Moon
Global,2010,Falling Searches,4,Mininova
Global,2010,Falling Searches,5,Susan Boyle
Global,2010,Food & Drink,1,MasterChef
Global,2010,Food & Drink,3,Cupcakes
Global,2010,Food & Drink,4,Jimmy Johns
Global,2010,Health,1,HCG diet
Global,2010,Health,2,Dr. Oz
Global,2010,Health,3,Aspergers
Global,2010,Health,4,McDonald's nutrition
Global,2010,Health,5,Vitamin D Deficiency
Global,2010,Humanitarian Aid,1,Donate to Haiti
Global,2010,Humanitarian Aid,2,Donate to Pakistan
Global,2010,Humanitarian Aid,3,Text to donate
Global,2010,Humanitarian Aid,4,Doctors Without Borders
Global,2010,Humanitarian Aid,5,Download to Donate
Global,2010,Maps Searches,1,Anhembi Parque
Global,2010,Maps Searches,2,WM Gucken
Global,2010,Maps Searches,3,World Cup
Global,2010,Maps Searches,4,Bundeskanzleramt
Global,2010,Maps Searches,5,Rio Branco
Global,2010,People,1,Justin Bieber
Global,2010,People,2,Katy Perry
Global,2010,People,3,Selena Gomez
Global,2010,People,4,Kim Kardashian
Global,2010,People,5,Eminem
Global,2010,Sports,1,Mundial 2010
Global,2010,Sports,2,Olympics
Global,2010,Sports,3,ESPN3
Global,2010,Sports,4,FIFA 11
Global,2010,Sports,5,Randy Moss
Global,2010,Top Trending,1,Chatroulette
Global,2010,Top Trending,2,iPad
Global,2010,Top Trending,3,Justin Bieber
